ÁREA,PRÉDIO,LOCAL,MÁQUINA,FABRICANTE,BTU,FUNCIONA,ESTADO,FUNCAO,CRITICO,AUTOMACAO,DIAS SEMANA,HORAS,PRIORIDADE,RISCO,AREA_M2,ALTURA_M,VOLUME_M3,,,,OBSERVAÇÕES
ADMINISTRATIVA,ACADEMIA,ACADEMIA,SPLIT,RETIRADO,"48,000",NOK,FALTA,CONFORTO,,,7,8,3,3,,,,,,,
ADMINISTRATIVA,ACADEMIA,ACADEMIA,SELF CONTAINED,inop,"48,000",NOK,INOP,CONFORTO,,,7,8,3,3,,,,,,,
ADMINISTRATIVA,ACADEMIA,BARBEARIA,JANELA,SPRINGER,"12,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALMOXARIFADO,ALMOXARIFADO,SPLIT,ELGIN,"18,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTO CIVIS,ALOJAMENTO CIVIS,SPLIT,ELGIN,"36,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTO DA ACADEMIA,2SG / 3SG,SPLIT,CONSUL,"18,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTO DA ACADEMIA,2SG / 3SG (DORMITÓRIO),SPLIT,SPRINGER,"18,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTO DA GRAMA,2SG / 3SG,SPLIT,CARRIER,"36,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTO DA GRAMA,2SG / 3SG (DORMITÓRIO),SPLIT,ELGIN,"60,000",NOK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,VAZAMENTO
ADMINISTRATIVA,ALOJAMENTO PRAÇAS FEMININO,DORMITÓRIO,SPLIT,ELGIN,"18,000",NOK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,VAZAMENTO
ADMINISTRATIVA,ALOJAMENTO PRAÇAS FEMININO,SALA DE ESTAR,SPLIT,CONSUL,"18,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTOS DA ORLA,2SG / 3SG,SPLIT,MIDEA,"22,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTOS DA ORLA,2SG / 3SG (DORMITÓRIO),SPLIT,MIDEA,"18,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTOS DA ORLA,CB / MN (DORMITÓRIO),SPLIT,ELGIN,"48,000",OK,NOVA,CONFORTO,,,7,24,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTOS DA ORLA,CB / MN SALAO RECREIO,SPLIT,RETIRADO,"36,000",NOK,FALTA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTOS DA ORLA,SO / 1SG,SPLIT,ELGIN,"36,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,ALOJAMENTOS DA ORLA,SO / 1SG (DORMITÓRIO),SPLIT,ELGIN,"48,000",OK,NOVA,CONFORTO,,,7,24,3,3,,,,,,,
ADMINISTRATIVA,AUDITÓRIO,AUDITÓRIO 1,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,AUDITÓRIO,AUDITÓRIO 2,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,CFTV,SPLIT,ELGIN,"18,000",OK,NOVA,SERVIDOR,X,,7,24,1,1,,,,,,,
ADMINISTRATIVA,COMANDO,CFTV,SPLIT,ELGIN,"18,000",NOK,FALTA,SERVIDOR,X,,7,24,1,1,,,,,,,
ADMINISTRATIVA,COMANDO,COPA DO GABINETE,SPLIT,COMFEE,"9,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,DEP INFRAESTUTURA,SPLIT,MIDEA,"9,000",NOK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,PROCESSO DE BAIXA
ADMINISTRATIVA,COMANDO,DEP INFRAESTUTURA,SPLIT,SPRINGER,"18,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,"DEPARTAMENTO DE ADMINISTRAÇÃO
(CHEFE DO DEPARTAMENTO)",SPLIT,ELGIN,"12,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,DEPARTAMENTO DE ARMAS,SPLIT,SANSUNG,"18,000",OK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,"DEPARTAMENTO DE ARMAS
(CHEFE DO DEPARTAMENTO)",SPLIT,GREE,"22,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,DEPARTAMENTO DE INFRAESTRUTURA,SPLIT,MIDEA,"9,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,DEPARTAMENTO DE PESSOAL (DP),SPLIT,ELGIN,"36,000",NOK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,CONDENSADORA DE ALUMÍNIO FURADA. (MAQUINA APENAS PARA RETIRADA DE PEÇAS)
ADMINISTRATIVA,COMANDO,DEPARTAMENTO DE PESSOAL (DP),SPLIT,CONSUL,"36,000",NOK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,VERIFICAR
ADMINISTRATIVA,COMANDO,DEPARTAMENTO DE PESSOAL (DP),SPLIT INVERTER,PISO/TETO,"48,000",OK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,EXECUÇÃO FINANCEIRA,SPLIT,MIDEA,"9,000",NOK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,PROCESSO DE BAIXA
ADMINISTRATIVA,COMANDO,EXECUÇÃO FINANCEIRA,SPLIT,MIDEA,"9,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,GABINETE DA DIRETOR,SPLIT,SPRINGER,"18,000",OK,VELHA,DIRETORIA,,,5,8,1,2,,,,,,,
ADMINISTRATIVA,COMANDO,"GABINETE DA DIRETOR
(SECRETÁRIA)",SPLIT,MIDEA,"12,000",OK,SEMI,DIRETORIA,,,5,8,1,2,,,,,,,
ADMINISTRATIVA,COMANDO,INFORMÁTICA,SPLIT,ELGIN,"12,000",NOK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,VERIFICAR
ADMINISTRATIVA,COMANDO,INFORMÁTICA,SPLIT,ELGIN,"12,000",NOK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,VERIFICAR
ADMINISTRATIVA,COMANDO,"INFORMÁTICA
(SERVIDOR)",SPLIT,CONSUL,"18,000",OK,NOVA,SERVIDOR,X,,7,24,1,1,,,,,,,
ADMINISTRATIVA,COMANDO,"INFORMÁTICA
(SERVIDOR)",SPLIT,CONSUL,"18,000",OK,NOVA,SERVIDOR,X,,7,24,1,1,,,,,,,
ADMINISTRATIVA,COMANDO,INTELIGÊNCIA,SPLIT,CONSUL,"12,000",OK,VELHA,CONFORTO,,,5,8,2,2,,,,,,,
ADMINISTRATIVA,COMANDO,MUNICIAMENTO,SPLIT,SPRINGER,"18,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,OBTENÇÕES,SPLIT,ELGIN,"22,000",NOK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,DRENO ENTUPIDO
ADMINISTRATIVA,COMANDO,SALA DE REUNIÃO,SPLIT,AGRATTO,"22,000",OK,NOVA,DIRETORIA,,,5,8,2,2,,,,,,,
ADMINISTRATIVA,COMANDO,SALÃO NOBRE,SPLIT,GREE,"36,000",OK,NOVA,DIRETORIA,,,5,8,2,2,,,,,,,
ADMINISTRATIVA,COMANDO,SECOM,SPLIT,CARRIER,"48,000",OK,NOVA,SERVIDOR,X,,7,24,1,1,,,,,,,
ADMINISTRATIVA,COMANDO,SEGURANÇA,SPLIT,ELGIN,"48,000",OK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,COMANDO,VICE DIRETOR,SPLIT,AGRATTO,"22,000",OK,NOVA,DIRETORIA,,,5,8,1,2,,,,,,,
ADMINISTRATIVA,GARAGEM,ENCARREGADO TRANSPORTES,JANELA,SPRINGER,"12,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,GARAGEM,ESCRITÓRIO TRANSPORTES,JANELA,SPRINGER,"9,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,GARAGEM,SARGENTEANTE TRANSPORTE,JANELA,SPRINGER,"12,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,ALOJAMENTO OFICIAIS FEMININO,SPLIT,SPRINGER,"22,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,ALOJAMENTO OFICIAIS INTERMEDIÁRIOS,SPLIT,PHILCO,"36,000",OK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,ALOJAMENTO OFICIAIS SUBALTERNOS,SPLIT,ELGIN,"22,000",OK,NOVA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,ALOJAMENTO OFICIAIS SUPERIORES,SPLIT,SPRINGER,"22,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,CAMAROTE VICE DIRETOR,SPLIT,SPRINGER,"22,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,PRAÇA DARMAS,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,PRAÇA DARMAS,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,PRAÇA DARMAS,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PRAÇA DARMAS,SALA DE JOGOS,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PREFEITURA,COBERTA ARMARIO,JANELA,CONSUL,"7,500",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PREFEITURA,ENCARREGADO,SPLIT,MIDEA,"12,000",OK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,PREFEITURA,OFICINA ELETRICA,SPLIT,SPRINGER,"9,000",NOK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,SEM CONDENSADORA
ADMINISTRATIVA,PREFEITURA,PAIOL CAV,SPLIT INVERTER,ELGIN,"48,000",NOK,INOP,CONFORTO,,,5,8,3,3,,,,,,,"INVERTER 
PLACA REMOVIDA, USADA NO ALOJ GUARDA (SALA ESTADO)"
ADMINISTRATIVA,PREFEITURA,SARGENTEANTE PREFEITURA,SPLIT,ELGIN,"12,000",OK,SEMI,REFEITORIO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,RANCHO/COZINHA,CB / MN,SPLIT,ELGIN,"60,000",NOK,NOVA,REFEITORIO,,,5,8,2,2,,,,,,,AGUARDANDO MATERIAL PARA MANUTENÇÃO
ADMINISTRATIVA,RANCHO/COZINHA,CB / MN,SPLIT,ELGIN,"60,000",NOK,NOVA,REFEITORIO,,,5,8,2,2,,,,,,,Compressor queimado / em curto
