id,IP,LOCAL,tipo_equipamento,Marca,Modelo,MAC
1,192.168.10.1,gateway VLAN10,,,,
2,192.168.10.2,,,,,
3,192.168.10.3,,,,,
4,192.168.10.4,,,,,
5,192.168.10.5,,,,,
6,192.168.10.6,,,,,
7,192.168.10.7,,,,,
8,192.168.10.8,,,,,
9,192.168.10.9,,,,,
10,192.168.10.10,,,,,
11,192.168.10.11,,,,,
12,192.168.10.12,,,,,
13,192.168.10.13,,,,,
14,192.168.10.14,,,,,
15,192.168.10.15,,,,,
16,192.168.10.16,,,,,
17,192.168.10.17,,,,,
18,192.168.10.18,,,,,
19,192.168.10.19,,,,,
20,192.168.10.20,,,,,
21,192.168.10.21,,,,,
22,192.168.10.22,,,,,
23,192.168.10.23,,,,,
24,192.168.10.24,,,,,
25,192.168.10.25,,,,,
26,192.168.10.26,,,,,
27,192.168.10.27,,,,,
28,192.168.10.28,,,,,
29,192.168.10.29,DHCP / servers ^,,,,
30,192.168.10.30,DHCP / servers ^,,,,
31,192.168.10.31,,,,,
32,192.168.10.32,,,,,
33,192.168.10.33,,,,,
34,192.168.10.34,,,,,
35,192.168.10.35,,,,,
36,192.168.10.36,,,,,
37,192.168.10.37,,,,,
38,192.168.10.38,,,,,
39,192.168.10.39,G-5-I,dome 2M,Intelbras,VIP 1230 D,
40,192.168.10.40,G-5-II,dome 2M,Intelbras,VIP 1230 D,
41,192.168.10.41,G-5-III,dome 2M,Intelbras,VIP 1230 D,
42,192.168.10.42,G-5-IV,dome 2M,Intelbras,VIP 1230 D,
43,192.168.10.43,G-5-V,dome 2M,Intelbras,VIP 1230 D,
44,192.168.10.44,G-6-I,dome 2M,Intelbras,VIP 1230 D,
45,192.168.10.45,G-6-II,dome 2M,Intelbras,VIP 1230 D,
46,192.168.10.46,G-6-III,dome 2M,Intelbras,VIP 1230 D,
47,192.168.10.47,G-6-IV,dome 2M,Intelbras,VIP 1230 D,
48,192.168.10.48,G-6-V,dome 2M,Intelbras,VIP 1230 D,
49,192.168.10.49,G-7-I,dome 2M,Intelbras,VIP 1230 D,
50,192.168.10.50,G-7-II,dome 2M,Intelbras,VIP 1230 D,
51,192.168.10.51,G-7-III,dome 2M,Intelbras,VIP 1230 D,
52,192.168.10.52,G-7-IV,dome 2M,Intelbras,VIP 1230 D,
53,192.168.10.53,G-7-V,dome 2M,Intelbras,VIP 1230 D,
54,192.168.10.54,G-8-I,dome 2M,Intelbras,VIP 1230 D,
55,192.168.10.55,G-8-II,dome 2M,Intelbras,VIP 1230 D,
56,192.168.10.56,G-8-III,dome 2M,Intelbras,VIP 1230 D,
57,192.168.10.57,G-8-IV,dome 2M,Intelbras,VIP 1230 D,
58,192.168.10.58,G-8-V,dome 2M,Intelbras,VIP 1230 D,
59,192.168.10.59,U-5-I,dome 2M,Intelbras,VIP 1230 D,
60,192.168.10.60,U-5-II,dome 2M,Intelbras,VIP 1230 D,
61,192.168.10.61,U-5-III,dome 2M,Intelbras,VIP 1230 D,
62,192.168.10.62,u-5-IV,dome 2M,Intelbras,VIP 1230 D,
63,192.168.10.63,U-5-V,dome 2M,Intelbras,VIP 1230 D,
64,192.168.10.64,U-6-I,dome 2M,Intelbras,VIP 1230 D,
65,192.168.10.65,U-6-II,dome 2M,Intelbras,VIP 1230 D,
66,192.168.10.66,U-6-III,dome 2M,Intelbras,VIP 1230 D,
67,192.168.10.67,U-6-IV,dome 2M,Intelbras,VIP 1230 D,
68,192.168.10.68,U-6-V,dome 2M,Intelbras,VIP 1230 D,
69,192.168.10.69,U-7-I,dome 2M,Intelbras,VIP 1230 D,
